PLZ Ort, Adresse [Zählpunktnummer];;;PLZ Ort, Adresse [Zählpunktnummer];;
Zählpunktnummer;;;Zählpunktnummer;;
Strom - Wirkenergie (kWh);;;Strom - Wirkenergie (kWh);;
kWh;;;kWh;;
DATE_FROM;DATE_TO;VALUE;DATE_FROM;DATE_TO;VALUE
;;;13.06.2023 16:30;13.06.2023 16:44;0,001
;;;13.06.2023 16:45;13.06.2023 16:59;0
;;;13.06.2023 17:00;13.06.2023 17:14;0,007
;;;13.06.2023 17:15;13.06.2023 17:29;0
;;;13.06.2023 17:30;13.06.2023 17:44;0
;;;13.06.2023 17:45;13.06.2023 17:59;0
;;;13.06.2023 18:00;13.06.2023 18:14;0
;;;13.06.2023 18:15;13.06.2023 18:29;0
;;;13.06.2023 18:30;13.06.2023 18:44;0
;;;13.06.2023 18:45;13.06.2023 18:59;0,003
;;;13.06.2023 19:00;13.06.2023 19:14;0
;;;13.06.2023 19:15;13.06.2023 19:29;0,001
;;;13.06.2023 19:30;13.06.2023 19:44;0,054
;;;13.06.2023 19:45;13.06.2023 19:59;0
;;;13.06.2023 20:00;13.06.2023 20:14;0,001
;;;13.06.2023 20:15;13.06.2023 20:29;0,002
;;;13.06.2023 20:30;13.06.2023 20:44;0,005
;;;13.06.2023 20:45;13.06.2023 20:59;0,002
;;;13.06.2023 21:00;13.06.2023 21:14;0
;;;13.06.2023 21:15;13.06.2023 21:29;0,001
;;;13.06.2023 21:30;13.06.2023 21:44;0
;;;13.06.2023 21:45;13.06.2023 21:59;0,003
;;;13.06.2023 22:00;13.06.2023 22:14;0
;;;13.06.2023 22:15;13.06.2023 22:29;0,001
;;;13.06.2023 22:30;13.06.2023 22:44;0,022
;;;13.06.2023 22:45;13.06.2023 22:59;0
;;;13.06.2023 23:00;13.06.2023 23:14;0,002
;;;13.06.2023 23:15;13.06.2023 23:29;0,004
;;;13.06.2023 23:30;13.06.2023 23:44;0,003
;;;13.06.2023 23:45;13.06.2023 23:59;0,002
;;;14.06.2023 00:00;14.06.2023 00:14;0,006
;;;14.06.2023 00:15;14.06.2023 00:29;0,003
;;;14.06.2023 00:30;14.06.2023 00:44;0,002
;;;14.06.2023 00:45;14.06.2023 00:59;0,004
;;;14.06.2023 01:00;14.06.2023 01:14;0,003
;;;14.06.2023 01:15;14.06.2023 01:29;0,003
;;;14.06.2023 01:30;14.06.2023 01:44;0,001
;;;14.06.2023 01:45;14.06.2023 01:59;0,006
;;;14.06.2023 02:00;14.06.2023 02:14;0,003
;;;14.06.2023 02:15;14.06.2023 02:29;0,002
;;;14.06.2023 02:30;14.06.2023 02:44;0,001
;;;14.06.2023 02:45;14.06.2023 02:59;0,003
;;;14.06.2023 03:00;14.06.2023 03:14;0,006
;;;14.06.2023 03:15;14.06.2023 03:29;0,005
;;;14.06.2023 03:30;14.06.2023 03:44;0,002
;;;14.06.2023 03:45;14.06.2023 03:59;0,003
;;;14.06.2023 04:00;14.06.2023 04:14;0,005
;;;14.06.2023 04:15;14.06.2023 04:29;0,002
;;;14.06.2023 04:30;14.06.2023 04:44;0,003
;;;14.06.2023 04:45;14.06.2023 04:59;0,005
;;;14.06.2023 05:00;14.06.2023 05:14;0,003
;;;14.06.2023 05:15;14.06.2023 05:29;0,003
;;;14.06.2023 05:30;14.06.2023 05:44;0,003
;;;14.06.2023 05:45;14.06.2023 05:59;0,004
;;;14.06.2023 06:00;14.06.2023 06:14;0,005
;;;14.06.2023 06:15;14.06.2023 06:29;0,002
;;;14.06.2023 06:30;14.06.2023 06:44;0,097
;;;14.06.2023 06:45;14.06.2023 06:59;0,003
;;;14.06.2023 07:00;14.06.2023 07:14;0,033
;;;14.06.2023 07:15;14.06.2023 07:29;0
;;;14.06.2023 07:30;14.06.2023 07:44;0
;;;14.06.2023 07:45;14.06.2023 07:59;0
;;;14.06.2023 08:00;14.06.2023 08:14;0,004
;;;14.06.2023 08:15;14.06.2023 08:29;0,003
;;;14.06.2023 08:30;14.06.2023 08:44;0,001
;;;14.06.2023 08:45;14.06.2023 08:59;0
;;;14.06.2023 09:00;14.06.2023 09:14;0,001
;;;14.06.2023 09:15;14.06.2023 09:29;0,006
;;;14.06.2023 09:30;14.06.2023 09:44;0,003
;;;14.06.2023 09:45;14.06.2023 09:59;0,003
;;;14.06.2023 10:00;14.06.2023 10:14;0
;;;14.06.2023 10:15;14.06.2023 10:29;0,002
;;;14.06.2023 10:30;14.06.2023 10:44;0
;;;14.06.2023 10:45;14.06.2023 10:59;0,001
;;;14.06.2023 11:00;14.06.2023 11:14;0
;;;14.06.2023 11:15;14.06.2023 11:29;0
;;;14.06.2023 11:30;14.06.2023 11:44;0
;;;14.06.2023 11:45;14.06.2023 11:59;0
;;;14.06.2023 12:00;14.06.2023 12:14;0,001
;;;14.06.2023 12:15;14.06.2023 12:29;0,002
;;;14.06.2023 12:30;14.06.2023 12:44;0,003
;;;14.06.2023 12:45;14.06.2023 12:59;0,002
;;;14.06.2023 13:00;14.06.2023 13:14;0,299
;;;14.06.2023 13:15;14.06.2023 13:29;0,591
;;;14.06.2023 13:30;14.06.2023 13:44;0,058
;;;14.06.2023 13:45;14.06.2023 13:59;0,06
;;;14.06.2023 14:00;14.06.2023 14:14;0,069
;;;14.06.2023 14:15;14.06.2023 14:29;0,058
;;;14.06.2023 14:30;14.06.2023 14:44;0,061
;;;14.06.2023 14:45;14.06.2023 14:59;0,066
;;;14.06.2023 15:00;14.06.2023 15:14;0,07
;;;14.06.2023 15:15;14.06.2023 15:29;0,054
;;;14.06.2023 15:30;14.06.2023 15:44;0,054
;;;14.06.2023 15:45;14.06.2023 15:59;0,001
;;;14.06.2023 16:00;14.06.2023 16:14;0,08
;;;14.06.2023 16:15;14.06.2023 16:29;0
;;;14.06.2023 16:30;14.06.2023 16:44;0,035
;;;14.06.2023 16:45;14.06.2023 16:59;0,226
;;;14.06.2023 17:00;14.06.2023 17:14;0,339
;;;14.06.2023 17:15;14.06.2023 17:29;0,528
;;;14.06.2023 17:30;14.06.2023 17:44;0,1
;;;14.06.2023 17:45;14.06.2023 17:59;0,185
;;;14.06.2023 18:00;14.06.2023 18:14;0,243
;;;14.06.2023 18:15;14.06.2023 18:29;0,211
;;;14.06.2023 18:30;14.06.2023 18:44;0,336
;;;14.06.2023 18:45;14.06.2023 18:59;0,308
;;;14.06.2023 19:00;14.06.2023 19:14;0,122
;;;14.06.2023 19:15;14.06.2023 19:29;0,141
;;;14.06.2023 19:30;14.06.2023 19:44;0,243
;;;14.06.2023 19:45;14.06.2023 19:59;0,127
;;;14.06.2023 20:00;14.06.2023 20:14;0,082
;;;14.06.2023 20:15;14.06.2023 20:29;0,031
;;;14.06.2023 20:30;14.06.2023 20:44;0
;;;14.06.2023 20:45;14.06.2023 20:59;0,004
;;;14.06.2023 21:00;14.06.2023 21:14;0
;;;14.06.2023 21:15;14.06.2023 21:29;0
;;;14.06.2023 21:30;14.06.2023 21:44;0,004
;;;14.06.2023 21:45;14.06.2023 21:59;0
;;;14.06.2023 22:00;14.06.2023 22:14;0
;;;14.06.2023 22:15;14.06.2023 22:29;0,001
;;;14.06.2023 22:30;14.06.2023 22:44;0,002
;;;14.06.2023 22:45;14.06.2023 22:59;0,001
;;;14.06.2023 23:00;14.06.2023 23:14;0,004
;;;14.06.2023 23:15;14.06.2023 23:29;0,003
;;;14.06.2023 23:30;14.06.2023 23:44;0,003
;;;14.06.2023 23:45;14.06.2023 23:59;0,001
;;;15.06.2023 00:00;15.06.2023 00:14;0,005
;;;15.06.2023 00:15;15.06.2023 00:29;0,002
;;;15.06.2023 00:30;15.06.2023 00:44;0,002
;;;15.06.2023 00:45;15.06.2023 00:59;0,005
;;;15.06.2023 01:00;15.06.2023 01:14;0,003
;;;15.06.2023 01:15;15.06.2023 01:29;0,004
;;;15.06.2023 01:30;15.06.2023 01:44;0,001
;;;15.06.2023 01:45;15.06.2023 01:59;0,005
;;;15.06.2023 02:00;15.06.2023 02:14;0,001
;;;15.06.2023 02:15;15.06.2023 02:29;0,003
;;;15.06.2023 02:30;15.06.2023 02:44;0,007
;;;15.06.2023 02:45;15.06.2023 02:59;0,002
;;;15.06.2023 03:00;15.06.2023 03:14;0,003
;;;15.06.2023 03:15;15.06.2023 03:29;0,005
;;;15.06.2023 03:30;15.06.2023 03:44;0,002
;;;15.06.2023 03:45;15.06.2023 03:59;0,013
;;;15.06.2023 04:00;15.06.2023 04:14;0,001
;;;15.06.2023 04:15;15.06.2023 04:29;0,001
;;;15.06.2023 04:30;15.06.2023 04:44;0,005
;;;15.06.2023 04:45;15.06.2023 04:59;0,004
;;;15.06.2023 05:00;15.06.2023 05:14;0
;;;15.06.2023 05:15;15.06.2023 05:29;0
;;;15.06.2023 05:30;15.06.2023 05:44;0,003
;;;15.06.2023 05:45;15.06.2023 05:59;0
;;;15.06.2023 06:00;15.06.2023 06:14;0,001
;;;15.06.2023 06:15;15.06.2023 06:29;0
;;;15.06.2023 06:30;15.06.2023 06:44;0,134
;;;15.06.2023 06:45;15.06.2023 06:59;0
;;;15.06.2023 07:00;15.06.2023 07:14;0,001
;;;15.06.2023 07:15;15.06.2023 07:29;0
;;;15.06.2023 07:30;15.06.2023 07:44;0,005
;;;15.06.2023 07:45;15.06.2023 07:59;0
;;;15.06.2023 08:00;15.06.2023 08:14;0,022
;;;15.06.2023 08:15;15.06.2023 08:29;0,08
;;;15.06.2023 08:30;15.06.2023 08:44;0,095
;;;15.06.2023 08:45;15.06.2023 08:59;0,091
;;;15.06.2023 09:00;15.06.2023 09:14;0,045
;;;15.06.2023 09:15;15.06.2023 09:29;0,002
;;;15.06.2023 09:30;15.06.2023 09:44;0,002
;;;15.06.2023 09:45;15.06.2023 09:59;0
;;;15.06.2023 10:00;15.06.2023 10:14;0
;;;15.06.2023 10:15;15.06.2023 10:29;0,003
;;;15.06.2023 10:30;15.06.2023 10:44;0
;;;15.06.2023 10:45;15.06.2023 10:59;0,003
;;;15.06.2023 11:00;15.06.2023 11:14;0,458
;;;15.06.2023 11:15;15.06.2023 11:29;0,045
;;;15.06.2023 11:30;15.06.2023 11:44;0
;;;15.06.2023 11:45;15.06.2023 11:59;0,002
;;;15.06.2023 12:00;15.06.2023 12:14;0
;;;15.06.2023 12:15;15.06.2023 12:29;0
;;;15.06.2023 12:30;15.06.2023 12:44;0,004
;;;15.06.2023 12:45;15.06.2023 12:59;0,137
;;;15.06.2023 13:00;15.06.2023 13:14;0,028
;;;15.06.2023 13:15;15.06.2023 13:29;0,437
;;;15.06.2023 13:30;15.06.2023 13:44;0,116
;;;15.06.2023 13:45;15.06.2023 13:59;0,009
;;;15.06.2023 14:00;15.06.2023 14:14;0,057
;;;15.06.2023 14:15;15.06.2023 14:29;0,008
;;;15.06.2023 14:30;15.06.2023 14:44;0,012
;;;15.06.2023 14:45;15.06.2023 14:59;0
;;;15.06.2023 15:00;15.06.2023 15:14;0,051
;;;15.06.2023 15:15;15.06.2023 15:29;0,002
;;;15.06.2023 15:30;15.06.2023 15:44;0,009
;;;15.06.2023 15:45;15.06.2023 15:59;0
;;;15.06.2023 16:00;15.06.2023 16:14;0
;;;15.06.2023 16:15;15.06.2023 16:29;0,002
;;;15.06.2023 16:30;15.06.2023 16:44;0
;;;15.06.2023 16:45;15.06.2023 16:59;0
;;;15.06.2023 17:00;15.06.2023 17:14;0,018
;;;15.06.2023 17:15;15.06.2023 17:29;0,001
;;;15.06.2023 17:30;15.06.2023 17:44;0
;;;15.06.2023 17:45;15.06.2023 17:59;0,002
;;;15.06.2023 18:00;15.06.2023 18:14;0,003
;;;15.06.2023 18:15;15.06.2023 18:29;0,003
;;;15.06.2023 18:30;15.06.2023 18:44;0,001
;;;15.06.2023 18:45;15.06.2023 18:59;0
;;;15.06.2023 19:00;15.06.2023 19:14;0
;;;15.06.2023 19:15;15.06.2023 19:29;0,002
;;;15.06.2023 19:30;15.06.2023 19:44;0
;;;15.06.2023 19:45;15.06.2023 19:59;0,001
;;;15.06.2023 20:00;15.06.2023 20:14;0,006
;;;15.06.2023 20:15;15.06.2023 20:29;0,005
;;;15.06.2023 20:30;15.06.2023 20:44;0
;;;15.06.2023 20:45;15.06.2023 20:59;0,002
;;;15.06.2023 21:00;15.06.2023 21:14;0,001
;;;15.06.2023 21:15;15.06.2023 21:29;0,004
;;;15.06.2023 21:30;15.06.2023 21:44;0,001
;;;15.06.2023 21:45;15.06.2023 21:59;0,004
;;;15.06.2023 22:00;15.06.2023 22:14;0,005
;;;15.06.2023 22:15;15.06.2023 22:29;0,003
;;;15.06.2023 22:30;15.06.2023 22:44;0,003
;;;15.06.2023 22:45;15.06.2023 22:59;0,002
;;;15.06.2023 23:00;15.06.2023 23:14;0,005
;;;15.06.2023 23:15;15.06.2023 23:29;0,004
;;;15.06.2023 23:30;15.06.2023 23:44;0,004
;;;15.06.2023 23:45;15.06.2023 23:59;0,002
;;;16.06.2023 00:00;16.06.2023 00:14;0,002
;;;16.06.2023 00:15;16.06.2023 00:29;0,001
;;;16.06.2023 00:30;16.06.2023 00:44;0,006
;;;16.06.2023 00:45;16.06.2023 00:59;0,003
;;;16.06.2023 01:00;16.06.2023 01:14;0,004
;;;16.06.2023 01:15;16.06.2023 01:29;0,005
;;;16.06.2023 01:30;16.06.2023 01:44;0,003
;;;16.06.2023 01:45;16.06.2023 01:59;0,001
;;;16.06.2023 02:00;16.06.2023 02:14;0,005
;;;16.06.2023 02:15;16.06.2023 02:29;0,002
;;;16.06.2023 02:30;16.06.2023 02:44;0,004
;;;16.06.2023 02:45;16.06.2023 02:59;0,003
;;;16.06.2023 03:00;16.06.2023 03:14;0,002
;;;16.06.2023 03:15;16.06.2023 03:29;0,004
;;;16.06.2023 03:30;16.06.2023 03:44;0,006
;;;16.06.2023 03:45;16.06.2023 03:59;0,005
;;;16.06.2023 04:00;16.06.2023 04:14;0,001
;;;16.06.2023 04:15;16.06.2023 04:29;0,002
;;;16.06.2023 04:30;16.06.2023 04:44;0,005
;;;16.06.2023 04:45;16.06.2023 04:59;0,003
;;;16.06.2023 05:00;16.06.2023 05:14;0,001
;;;16.06.2023 05:15;16.06.2023 05:29;0,003
;;;16.06.2023 05:30;16.06.2023 05:44;0,004
;;;16.06.2023 05:45;16.06.2023 05:59;0,002
;;;16.06.2023 06:00;16.06.2023 06:14;0,003
;;;16.06.2023 06:15;16.06.2023 06:29;0,002
;;;16.06.2023 06:30;16.06.2023 06:44;0,003
;;;16.06.2023 06:45;16.06.2023 06:59;0,003
;;;16.06.2023 07:00;16.06.2023 07:14;0,003
;;;16.06.2023 07:15;16.06.2023 07:29;0,002
;;;16.06.2023 07:30;16.06.2023 07:44;0,004
;;;16.06.2023 07:45;16.06.2023 07:59;0,003
;;;16.06.2023 08:00;16.06.2023 08:14;0,005
;;;16.06.2023 08:15;16.06.2023 08:29;0,001
;;;16.06.2023 08:30;16.06.2023 08:44;0,001
;;;16.06.2023 08:45;16.06.2023 08:59;0,001
;;;16.06.2023 09:00;16.06.2023 09:14;0,006
;;;16.06.2023 09:15;16.06.2023 09:29;0,001
;;;16.06.2023 09:30;16.06.2023 09:44;0
;;;16.06.2023 09:45;16.06.2023 09:59;0
;;;16.06.2023 10:00;16.06.2023 10:14;0
;;;16.06.2023 10:15;16.06.2023 10:29;0,005
;;;16.06.2023 10:30;16.06.2023 10:44;0,001
;;;16.06.2023 10:45;16.06.2023 10:59;0
;;;16.06.2023 11:00;16.06.2023 11:14;0
;;;16.06.2023 11:15;16.06.2023 11:29;0
;;;16.06.2023 11:30;16.06.2023 11:44;0
;;;16.06.2023 11:45;16.06.2023 11:59;0,004
;;;16.06.2023 12:00;16.06.2023 12:14;0,002
;;;16.06.2023 12:15;16.06.2023 12:29;0,001
;;;16.06.2023 12:30;16.06.2023 12:44;0
;;;16.06.2023 12:45;16.06.2023 12:59;0,001
;;;16.06.2023 13:00;16.06.2023 13:14;0,07
;;;16.06.2023 13:15;16.06.2023 13:29;0,07
;;;16.06.2023 13:30;16.06.2023 13:44;0
;;;16.06.2023 13:45;16.06.2023 13:59;0
;;;16.06.2023 14:00;16.06.2023 14:14;0
;;;16.06.2023 14:15;16.06.2023 14:29;0
;;;16.06.2023 14:30;16.06.2023 14:44;0
;;;16.06.2023 14:45;16.06.2023 14:59;0,004
;;;16.06.2023 15:00;16.06.2023 15:14;0
;;;16.06.2023 15:15;16.06.2023 15:29;0,001
;;;16.06.2023 15:30;16.06.2023 15:44;0,003
;;;16.06.2023 15:45;16.06.2023 15:59;0,002
;;;16.06.2023 16:00;16.06.2023 16:14;0,004
;;;16.06.2023 16:15;16.06.2023 16:29;0,003
;;;16.06.2023 16:30;16.06.2023 16:44;0
;;;16.06.2023 16:45;16.06.2023 16:59;0
;;;16.06.2023 17:00;16.06.2023 17:14;0,009
;;;16.06.2023 17:15;16.06.2023 17:29;0,004
;;;16.06.2023 17:30;16.06.2023 17:44;0
;;;16.06.2023 17:45;16.06.2023 17:59;0,001
;;;16.06.2023 18:00;16.06.2023 18:14;0
;;;16.06.2023 18:15;16.06.2023 18:29;0
;;;16.06.2023 18:30;16.06.2023 18:44;0
;;;16.06.2023 18:45;16.06.2023 18:59;0,004
;;;16.06.2023 19:00;16.06.2023 19:14;0,004
;;;16.06.2023 19:15;16.06.2023 19:29;0,002
;;;16.06.2023 19:30;16.06.2023 19:44;0
;;;16.06.2023 19:45;16.06.2023 19:59;0
;;;16.06.2023 20:00;16.06.2023 20:14;0,001
;;;16.06.2023 20:15;16.06.2023 20:29;0,005
;;;16.06.2023 20:30;16.06.2023 20:44;0,005
;;;16.06.2023 20:45;16.06.2023 20:59;0,002
;;;16.06.2023 21:00;16.06.2023 21:14;0,004
;;;16.06.2023 21:15;16.06.2023 21:29;0,003
;;;16.06.2023 21:30;16.06.2023 21:44;0,002
;;;16.06.2023 21:45;16.06.2023 21:59;0,002
;;;16.06.2023 22:00;16.06.2023 22:14;0,003
;;;16.06.2023 22:15;16.06.2023 22:29;0,002
;;;16.06.2023 22:30;16.06.2023 22:44;0
;;;16.06.2023 22:45;16.06.2023 22:59;0,002
;;;16.06.2023 23:00;16.06.2023 23:14;0,003
;;;16.06.2023 23:15;16.06.2023 23:29;0,003
;;;16.06.2023 23:30;16.06.2023 23:44;0,005
;;;16.06.2023 23:45;16.06.2023 23:59;0,003
;;;17.06.2023 00:00;17.06.2023 00:14;0,002
;;;17.06.2023 00:15;17.06.2023 00:29;0,003
;;;17.06.2023 00:30;17.06.2023 00:44;0,008
;;;17.06.2023 00:45;17.06.2023 00:59;0,001
;;;17.06.2023 01:00;17.06.2023 01:14;0,002
;;;17.06.2023 01:15;17.06.2023 01:29;0,002
;;;17.06.2023 01:30;17.06.2023 01:44;0,006
;;;17.06.2023 01:45;17.06.2023 01:59;0,002
;;;17.06.2023 02:00;17.06.2023 02:14;0,003
;;;17.06.2023 02:15;17.06.2023 02:29;0,002
;;;17.06.2023 02:30;17.06.2023 02:44;0
;;;17.06.2023 02:45;17.06.2023 02:59;0,001
;;;17.06.2023 03:00;17.06.2023 03:14;0,002
;;;17.06.2023 03:15;17.06.2023 03:29;0,002
;;;17.06.2023 03:30;17.06.2023 03:44;0,004
;;;17.06.2023 03:45;17.06.2023 03:59;0,003
;;;17.06.2023 04:00;17.06.2023 04:14;0,001
;;;17.06.2023 04:15;17.06.2023 04:29;0,005
;;;17.06.2023 04:30;17.06.2023 04:44;0,005
;;;17.06.2023 04:45;17.06.2023 04:59;0,007
;;;17.06.2023 05:00;17.06.2023 05:14;0
;;;17.06.2023 05:15;17.06.2023 05:29;0
;;;17.06.2023 05:30;17.06.2023 05:44;0
;;;17.06.2023 05:45;17.06.2023 05:59;0
;;;17.06.2023 06:00;17.06.2023 06:14;0,001
;;;17.06.2023 06:15;17.06.2023 06:29;0
;;;17.06.2023 06:30;17.06.2023 06:44;0,054
;;;17.06.2023 06:45;17.06.2023 06:59;0,164
;;;17.06.2023 07:00;17.06.2023 07:14;0,11
;;;17.06.2023 07:15;17.06.2023 07:29;0,158
;;;17.06.2023 07:30;17.06.2023 07:44;0,136
;;;17.06.2023 07:45;17.06.2023 07:59;0,138
;;;17.06.2023 08:00;17.06.2023 08:14;0,123
;;;17.06.2023 08:15;17.06.2023 08:29;0,124
;;;17.06.2023 08:30;17.06.2023 08:44;0,154
;;;17.06.2023 08:45;17.06.2023 08:59;0,08
;;;17.06.2023 09:00;17.06.2023 09:14;0,061
;;;17.06.2023 09:15;17.06.2023 09:29;0,005
;;;17.06.2023 09:30;17.06.2023 09:44;0,02
;;;17.06.2023 09:45;17.06.2023 09:59;0,02
;;;17.06.2023 10:00;17.06.2023 10:14;0,112
;;;17.06.2023 10:15;17.06.2023 10:29;0,071
;;;17.06.2023 10:30;17.06.2023 10:44;0
;;;17.06.2023 10:45;17.06.2023 10:59;0,087
;;;17.06.2023 11:00;17.06.2023 11:14;0
;;;17.06.2023 11:15;17.06.2023 11:29;0
;;;17.06.2023 11:30;17.06.2023 11:44;0,001
;;;17.06.2023 11:45;17.06.2023 11:59;0,002
;;;17.06.2023 12:00;17.06.2023 12:14;0
;;;17.06.2023 12:15;17.06.2023 12:29;0
;;;17.06.2023 12:30;17.06.2023 12:44;0,002
;;;17.06.2023 12:45;17.06.2023 12:59;0,004
;;;17.06.2023 13:00;17.06.2023 13:14;0,067
;;;17.06.2023 13:15;17.06.2023 13:29;0,104
;;;17.06.2023 13:30;17.06.2023 13:44;0
;;;17.06.2023 13:45;17.06.2023 13:59;0
;;;17.06.2023 14:00;17.06.2023 14:14;0,003
;;;17.06.2023 14:15;17.06.2023 14:29;0,002
;;;17.06.2023 14:30;17.06.2023 14:44;0
;;;17.06.2023 14:45;17.06.2023 14:59;0
;;;17.06.2023 15:00;17.06.2023 15:14;0
;;;17.06.2023 15:15;17.06.2023 15:29;0,006
;;;17.06.2023 15:30;17.06.2023 15:44;0,001
;;;17.06.2023 15:45;17.06.2023 15:59;0,003
;;;17.06.2023 16:00;17.06.2023 16:14;0,002
;;;17.06.2023 16:15;17.06.2023 16:29;0
;;;17.06.2023 16:30;17.06.2023 16:44;0
;;;17.06.2023 16:45;17.06.2023 16:59;0,001
;;;17.06.2023 17:00;17.06.2023 17:14;0,011
;;;17.06.2023 17:15;17.06.2023 17:29;0,002
;;;17.06.2023 17:30;17.06.2023 17:44;0,001
;;;17.06.2023 17:45;17.06.2023 17:59;0
;;;17.06.2023 18:00;17.06.2023 18:14;0,004
;;;17.06.2023 18:15;17.06.2023 18:29;0
;;;17.06.2023 18:30;17.06.2023 18:44;0
;;;17.06.2023 18:45;17.06.2023 18:59;0,004
;;;17.06.2023 19:00;17.06.2023 19:14;0,003
;;;17.06.2023 19:15;17.06.2023 19:29;0
;;;17.06.2023 19:30;17.06.2023 19:44;0,003
;;;17.06.2023 19:45;17.06.2023 19:59;0,001
;;;17.06.2023 20:00;17.06.2023 20:14;0,003
;;;17.06.2023 20:15;17.06.2023 20:29;0,002
;;;17.06.2023 20:30;17.06.2023 20:44;0,002
;;;17.06.2023 20:45;17.06.2023 20:59;0,006
;;;17.06.2023 21:00;17.06.2023 21:14;0,004
;;;17.06.2023 21:15;17.06.2023 21:29;0,003
;;;17.06.2023 21:30;17.06.2023 21:44;0,001
;;;17.06.2023 21:45;17.06.2023 21:59;0,006
;;;17.06.2023 22:00;17.06.2023 22:14;0,001
;;;17.06.2023 22:15;17.06.2023 22:29;0,008
;;;17.06.2023 22:30;17.06.2023 22:44;0
;;;17.06.2023 22:45;17.06.2023 22:59;0,002
;;;17.06.2023 23:00;17.06.2023 23:14;0,003
;;;17.06.2023 23:15;17.06.2023 23:29;0,004
;;;17.06.2023 23:30;17.06.2023 23:44;0,004
;;;17.06.2023 23:45;17.06.2023 23:59;0,003
;;;18.06.2023 00:00;18.06.2023 00:14;0,003
;;;18.06.2023 00:15;18.06.2023 00:29;0,004
;;;18.06.2023 00:30;18.06.2023 00:44;0,003
;;;18.06.2023 00:45;18.06.2023 00:59;0,001
;;;18.06.2023 01:00;18.06.2023 01:14;0,002
;;;18.06.2023 01:15;18.06.2023 01:29;0,004
;;;18.06.2023 01:30;18.06.2023 01:44;0,004
;;;18.06.2023 01:45;18.06.2023 01:59;0,002
;;;18.06.2023 02:00;18.06.2023 02:14;0,001
;;;18.06.2023 02:15;18.06.2023 02:29;0,004
;;;18.06.2023 02:30;18.06.2023 02:44;0,005
;;;18.06.2023 02:45;18.06.2023 02:59;0,004
;;;18.06.2023 03:00;18.06.2023 03:14;0,002
;;;18.06.2023 03:15;18.06.2023 03:29;0,003
;;;18.06.2023 03:30;18.06.2023 03:44;0,005
;;;18.06.2023 03:45;18.06.2023 03:59;0,006
;;;18.06.2023 04:00;18.06.2023 04:14;0,003
;;;18.06.2023 04:15;18.06.2023 04:29;0,004
;;;18.06.2023 04:30;18.06.2023 04:44;0,005
;;;18.06.2023 04:45;18.06.2023 04:59;0,003
;;;18.06.2023 05:00;18.06.2023 05:14;0,003
;;;18.06.2023 05:15;18.06.2023 05:29;0,002
;;;18.06.2023 05:30;18.06.2023 05:44;0
;;;18.06.2023 05:45;18.06.2023 05:59;0,004
;;;18.06.2023 06:00;18.06.2023 06:14;0,005
;;;18.06.2023 06:15;18.06.2023 06:29;0,004
;;;18.06.2023 06:30;18.06.2023 06:44;0,003
;;;18.06.2023 06:45;18.06.2023 06:59;0,001
;;;18.06.2023 07:00;18.06.2023 07:14;0,004
;;;18.06.2023 07:15;18.06.2023 07:29;0,003
;;;18.06.2023 07:30;18.06.2023 07:44;0,003
;;;18.06.2023 07:45;18.06.2023 07:59;0,005
;;;18.06.2023 08:00;18.06.2023 08:14;0,005
;;;18.06.2023 08:15;18.06.2023 08:29;0,002
;;;18.06.2023 08:30;18.06.2023 08:44;0
;;;18.06.2023 08:45;18.06.2023 08:59;0
;;;18.06.2023 09:00;18.06.2023 09:14;0
;;;18.06.2023 09:15;18.06.2023 09:29;0,002
;;;18.06.2023 09:30;18.06.2023 09:44;0
;;;18.06.2023 09:45;18.06.2023 09:59;0,003
;;;18.06.2023 10:00;18.06.2023 10:14;0,001
;;;18.06.2023 10:15;18.06.2023 10:29;0,002
;;;18.06.2023 10:30;18.06.2023 10:44;0
;;;18.06.2023 10:45;18.06.2023 10:59;0
;;;18.06.2023 11:00;18.06.2023 11:14;0,005
;;;18.06.2023 11:15;18.06.2023 11:29;0,003
;;;18.06.2023 11:30;18.06.2023 11:44;0
;;;18.06.2023 11:45;18.06.2023 11:59;0,003
;;;18.06.2023 12:00;18.06.2023 12:14;0,002
;;;18.06.2023 12:15;18.06.2023 12:29;0
;;;18.06.2023 12:30;18.06.2023 12:44;0,001
;;;18.06.2023 12:45;18.06.2023 12:59;0
;;;18.06.2023 13:00;18.06.2023 13:14;0,058
;;;18.06.2023 13:15;18.06.2023 13:29;0,099
;;;18.06.2023 13:30;18.06.2023 13:44;0,015
;;;18.06.2023 13:45;18.06.2023 13:59;0,003
;;;18.06.2023 14:00;18.06.2023 14:14;0,004
;;;18.06.2023 14:15;18.06.2023 14:29;0
;;;18.06.2023 14:30;18.06.2023 14:44;0,001
;;;18.06.2023 14:45;18.06.2023 14:59;0
;;;18.06.2023 15:00;18.06.2023 15:14;0,001
;;;18.06.2023 15:15;18.06.2023 15:29;0,004
;;;18.06.2023 15:30;18.06.2023 15:44;0,001
;;;18.06.2023 15:45;18.06.2023 15:59;0,002
;;;18.06.2023 16:00;18.06.2023 16:14;0
;;;18.06.2023 16:15;18.06.2023 16:29;0
;;;18.06.2023 16:30;18.06.2023 16:44;0
;;;18.06.2023 16:45;18.06.2023 16:59;0,003
;;;18.06.2023 17:00;18.06.2023 17:14;0,012
;;;18.06.2023 17:15;18.06.2023 17:29;0
;;;18.06.2023 17:30;18.06.2023 17:44;0
